"3787087 CANADA INC.","1405","DE MAISONNEUVE BLVD W CANADA"," ","MONTREAL","QC","5148444492","H3G1M6"
"PACIFIC CURRENCY EXCHANGE LTD","171-5951","MINORU BOULEVARD CANADA"," ","RICHMOND","BC","6042441000","V6X 4B1"
"REMO EXCHANGE OFFICE LTD","789","BURRARD STREET"," ","VANCOUVER","BC","6046854921","V6Z 1X6"
"LONDON CURRENCY EXCHANGE INC.","105","WHARNCLIFFE ROAD S. CANADA"," ","LONDON","ON","5194345080","N6J2K2"
"MONEYWAY FINANCIAL GROUP CORP.","702","MAIN STREET"," ","WEST VANCOUVER","BC","6049238000","V7T0A5"
"PABLA FOREIGN EXCHANGE EXPRESS INC","30","SECRETARIAT DRIVE"," ","ETOBICOKE","ON","4166799510","M9W6X4"
"RCG FOREX SERVICE CORP.","800-5951","NO.3 ROAD"," ","RICHMOND","BC","6048211977","V6X2E3"
"UNITED ROYAL CURRENCY EXCHANGE LTD.","1546","LONSDALE AVE CANADA"," ","NORTH VANCOUVER","BC","6049881070","V7M2J3"
"BUREAU DE CHANGE UNIVERSAL INC.","380","W1010 ST-ANTOINE STREET W. CANADA"," ","MONTREAL","QC","5148445060","H2Y 3X7"
"VALEOKEIS LTD.","4931","BATHURST STREET"," ","TORONTO","ON","4162299219","M2R1X8"
"TRAVELEX CANADA LIMITED","200","ALBERT STREET N CANADA"," ","REGINA","SK","4163593700","S4R5E2"
"9037-3622 QUEBEC INC.","1385A","STE-CATHERINE W. CANADA"," ","MONTREAL","QC","5148458692","H3G1R1"
"FINMEX (CANADA) INC.","3080","YONGE STREET","SUITE 5044","TORONTO","ON","4164893466","M4N 3N1"
"GLOBAL CURRENCY SERVICES INC.","1027","GORDON STREET","UNIT 8","GUELPH","ON","5197637330","N1G4X1"
"IDEAL MONEY SERVICES INC.","24","EMMANUEL DRIVE"," ","RICHMOND HILL","ON","9057077203","L4B 1Y7"
"NAUNIHAL CURRENCY EXCHANGE INC","1889","ALBION ROAD"," ","REXDALE","ON","4166750956","M9W 5S9"
"NORTHERN INTERNATIONAL EXCHANGE INC","107","DUNDAS STREET E."," ","MISSISSAUGA","ON","9053060000","L5A 1W7"
"A&I ENTERPRISE INC","1849","LONSDALE AVE. CANADA"," ","NORTH VANCOUVER","BC","6046877442","V7M 2J8"
"PHONE CASH MONEY TRANSFER INC","4113","STEELES AVENUE WEST CANADA"," ","NORTH YORK","ON","4166670738","M3N 1V7"
"TRANSAIGON COMPANY LTD.","981","COLLEGE STREET"," ","TORONTO","ON","4165369163","M6H 1A6"
"TRANSCARD CANADA LTD","2820","14TH AVENUE","SUITE 200","MARKHAM","ON","4168401466","L3R 0S9"
"CUSTOM HOUSE LTD","517","FORT STREET"," ","VICTORIA","BC","2502207167","V8W 1E7"
"1601480 ONTARIO INC.","632","ST-CLAIR AVENUE W. CANADA"," ","TORONTO","ON","4166562269","M6C 1A9"
"955018 ONTARIO LTD.","1649","EGLINTON AVENUE W. CANADA"," ","TORONTO","ON","6472950099","M6E2H1"
" ","101-1500","BANK ST"," ","OTTAWA","ON","6135211350","K1H7Z2"
"AUTOMOBILE ET TOURING CLUB DU QUÉBEC","444","RUE BOUVIER"," ","QUEBEC","QC","4186242424","G2J 1E3"
"SERVICES FINANCIERS WESTERN UNION (CANADA), INC.","#1-5268","MEMORIAL DRIVE NE CANADA"," ","CALGARY","AB","9055343118","T2A2R1"
"CANADA POST CORPORATION","8","BOUL PERRON"," ","POINTE-A-LA-GARDE","QC","6137343000","G0C2M0"
"GLOBEX 2000 FINANCIAL SERVICES INC.","148","RUE RICHELIEU"," ","ST-JEAN-SURRICHELIEU","QC","5149332555","J3B6X4"
"FIRMA FOREIGN EXCHANGE CORPORATION","10205","101 STREET","SUITE 400","EDMONTON","AB","7804264946","T5J4H5"
"JN MONEY SERVICES (CANADA) LTD.","1590","MATHESON BLVD E"," ","MISSISSAUGA","ON","4167842075","L4W1J1"
"LATIN EXPRESS COURRIER INC.","7100","ST-HUBERT","SUITE 202","MONTREAL","QC","5142701161","H2S 2M9"
"KARDAN EXCHANGE INC","201-239","SHEPPARD AVENUE E."," ","NORTH YORK","ON","4162222024","M2N3A8"
"VIGO REMITTANCE CORP.","325","MILNER AVENUE"," ","TORONTO","ON","8007778784","M1B 5N1"
"NATIONAL MONEY MART COMPANY","2725","JANE STREET"," ","NORTH YORK","ON","6472603116","M3L1S3"
"WHEATLAND INVESTMENTS LTD.","400-260","HARVEY AVENUE"," ","KELOWNA","BC","2508619311","V1Y 7X5"
"MONEY MART SPRUCE GROVE LTD.","323","FIRST AVENUE"," ","SPRUCE GROVE","AB","7804616622","T7Y3A2"
"2441-0946 QUEBEC INC","2102","BOULEVARD"," ","MONTREAL","QC","5142702446","H2G1T4"
"ENCAISSEMENT DE CHEQUE MONTREAL LTEE"," "," "," "," "," ","5147881555"," "
"1352212 ONTARIO INC.","1248","BLOOR STREET W. CANADA"," ","TORONTO","ON","4165367266","M6H1N5"
"SHERE PUNJAB EXCHANGE INC.","2980","DREW ROAD","SUITE 120","MISSISSAUGA","ON","9056774500","L4T 0A7"
"MERCANTILE EXCHANGE CORPORATION","8","KING ST EAST"," ","TORONTO","ON","4163683680","M5C1B5"
"TAEB ENTERPRISES INC.","57","FRANK ENDEAN ROAD"," ","RICHMOND HILL","ON","9057707776","L4S 1X4"
"INTERNATIONAL SECURITIES EXCHANGE LTD","1169","ROBSON STREET"," ","VANCOUVER","BC","6046839666","V6E 1B5"
"CASH MONEY CHEQUE CASHING INC","2137","JANE STREET","UNIT 1","DOWNSVIEW","ON","6477758700","M3M1A2"
"1526437 ONTARIO INC","1080","MEMORIAL AVENUE"," ","THUNDER BAY","ON","8076233622","P7B 4A3"
"1375455 ONTARIO INC","611","ST-CLAIR STREET"," ","POINT EDWARD","ON","5193447811","N7V1P2"
"GOP EXCHANGE LTD","20","HEATHERINGTON PLACE CANADA"," ","BRAMPTON","ON","9054586081","L6S5M7"
"INTERNATIONAL BUY & SELL INC.","128","MILLTOWN BOULEVARD CANADA"," ","ST-STEPHEN","NB","5064663387","E3L1G6"
"1252000 ONTARIO LTD.","607B","PARLIAMENT STREET"," ","TORONTO","ON","4169443441","M4X 1P8"
"592576 SASKATCHEWAN LTD","1215A","CENTRAL AVENUE"," ","PRINCE ALBERT","SK","3069538202","S6V4V9"
"0246921 BC LTD","89A-650","TERMINAL AVENUE"," ","NANAIMO","BC","2507531889","V9R 5E2"
"1648646 ONTARIO INC.","83","KENNEDY ROAD S.","UNIT 27","BRAMPTON","ON","9054539026","L6W 3P3"
"LAPARKAN TRADING LIMITED","5250","FINCH AVENUE E. UNIT 13/14"," ","SCARBOROUGH","ON","4162924370","M1S5A5"
"MEMON FINMARK INC","12888","96 AVENUE"," ","SURREY","BC","9052723888","V3V6A8"
"CORPORATION D'ÉCHANGE CANADA INC","4831","MILLER ROAD #206"," ","RICHMOND","BC","6046561711","V7B1K7"
"1170001 ONTARIO INC.","10077","YONGE STREET","UNIT","RICHMOND HILL","ON","9057706542","L4C 1T7"
"1052532 ONTARIO INC.","45"," "," ","GUELPH","ON","5197632952","N1H 2Z4"
"ENVOY INTERNATIONAL MANAGEMENT LTD.","427","GARRISON ROAD","UNIT","FORT ERIE","ON","8007555614","L2A 6E6"
"ASIA PACIFIC FOREIGN EXCHANGE LTD","27","QUEEN STREET EAST","SUITE 1104","TORONTO","ON","4169243222","M5C 2M6"
"WELLINGTON FOREIGN EXCHANGE CORPORATION","153","WELLINGTON STREET"," ","KINGSTON","ON","6135318731","K7L3E1"
"BEST CURRENCY EXCHANGE LTD.","12852","96 AVENUE","UNIT 105","SURREY","BC","6045887600","V3V6A8"
"HYPERWALLET SYSTEMS INC.","SUITE 180-2985","VIRTUAL WAY"," ","VANCOUVER","BC","18554493737","V5M4X7"
"MEDA TRADE CO INC.","155","FROBISHER DRIVE","SUITE","WATERLOO","ON","5197251715","N2V2E1"
"J & M COIN & JEWELLERY LTD.","348-4800","KINGSWAY"," ","BURNABY","BC","6048767181","V5H4J2"
"VANCOUVER BULLION AND CURRENCY EXCHANGE LTD.","120","800 W. PENDER ST."," ","VANCOUVER","BC","6046851008","V6C2V6"
"CALGARY FOREIGN EXCHANGE LTD.","228","8TH AVENUE S.W."," ","CALGARY","AB","4032900400","T2P1B5"
"MONEY SPOT INC.","1818","JANE STREET"," ","TORONTO","ON","4162449296","M9N2T3"
"2016413 ONTARIO INC","4350","STEELES AVENUE E.","UNIT F13","MARKHAM","ON","9054770545","L3R9V4"
"KGL ENTERPRISES LTD.","#4-8755","ASH STREET"," ","VANCOUVER","BC","6047641078","V6P 6T3"
"1436317 ONTARIO INC.","855","BROWNS LINE"," ","ETOBICOKE","ON","4162531895","M8W3V7"
"884272 ONTARIO INC.","79A","DUNLOP STREET WEST CANADA"," ","BARRIE","ON","7057343722","L4N 1A5"
"MTFX INC.","2750","14 TH AVENUE","SUITE 306","MARKHAM","ON","9053059023","L3R0B6"
"ALORIS MERCANTILE CORPORATION","292","SHEPPARD AVE W CANADA"," ","TORONTO","ON","4162222652","M2N1N5"
"GUARDIAN INTERNATIONAL CURRENCY CORPORATION","151","YONGE ST"," ","TORONTO","ON","4163621300","M5C2W7"
"M. KASIPPILLAI & SONS INC.","3228","#3","EGLINTON AVE E","CANADA"," ","SCARBOROUGH","ON","4162678221","M1J2H6"
"PERSEPOLIS INTERNATIONAL LTD","6987","YONGE ST"," ","TORONTO","ON","4162290000","M2M3X9"
"SINDI FINANCIAL SERVICES INC.","792","KENNEDY ROAD","SUITE 204","SCARBOROUGH","ON","4162880277","M1K2C8"
"VMBS OVERSEAS (CANADA) INC","801","EGLINTON AVENUE WEST CANADA","SUITE 101","TORONTO","ON","4166528652","M5N 1E3"
"MAHARLIKA SERVICES LTD.","4321","FRASER ST"," ","VANCOUVER","BC","6048727781","V5V 4G4"
"LBC MUNDIAL REMITTANCE CORPORATION","3563","INVESTMENT BLVD","STE 3","HAYWARD","CA","8002411312","94545"
"INTEGRATED PAYMENT SYSTEMS CANADA INC"," "," "," "," "," ","3039675348"," "
"MANIFLO MONEY EXCHANGE INC","1428","HIGHLAND AVE CANADA"," ","NATIONAL CITY","CA","6194347200","91950"
"AXIOM FOREIGN EXCHANGE INTERNATIONAL","310-323","10 AVENUE SW"," ","CALGARY","AB","4032695402","T2R0A5"
"FOREST HILL TRADER AND FINANCE INC","5460","YONGE ST","STE 304","TORONTO","ON","4162236668","M2N 6K7"
"LEMARGO INC.","B2-125","THE QUEENSWAY","UNIT 202","TORONTO","ON","9059490266","M8Y1H6"
"1538466 ONTARIO INC.","279","SPADINA AVE CANADA"," ","TORONTO","ON","4165967601","M5T2E3"
"MANITOBA MOTOR LEAGUE","870","EMPRESS ST"," ","WINNIPEG","MB","2042626127","R3C 2Z3"
"CANADA MONEY TT LTD.","1231-4500","KINGSWAY AVE CANADA"," ","BURNABY","BC","6044338003","V5H 2A9"
"GEMINI WORLDWIDE INC","42","BRONTE ST. SOUTH"," ","MILTON","ON","4166568008","L9T5A8"
"GOLDEN STAR EXCHANGE LIMITED","13","MAPLE VALLEY STREET"," ","BRAMPTON","ON","4166757070","L6P 2E8"
"KARPATY EXPORT IMPORT LIMITED","121","RUNNYMEDE RD"," ","TORONTO","ON","4167619105","M6S 2Y4"
"JESUS G MALLARI AND ASSOCIATES","4858A","YONGE ST","STE 1","TORONTO","ON","4166245662","M2N 5N2"
"4291921 CANADA INC.","6520","ST-JACQUES WEST CANADA"," ","MONTREAL","QC","5144856000","H4B1T6"
"9047-3448 QUEBEC INC","6520","ST"," ","MONTREAL","QC","5146226000","H4B 1T6"
"1013490 ONTARIO LTD.","198","SPADINA AVE. CANADA"," ","TORONTO","ON","4165938867","M5T 2C2"
"1668334 ONTARIO INC.","1100","BURNHAMTHORPE RD. W."," ","MISSISSAUGA","ON","9059492646","L5C 4G4"
"JACK FILLED FOREIGN EXCHANGE INC","102-305","MILNER AVE CANADA"," ","SCARBOROUGH","ON","4169019995","M1B3V4"
"PUNJAB FINANCIAL SERVICES INC","1090","PETER ROBERTSON BLVD","UNIT 206","BRAMPTON","ON","9054552535","L6R 3B3"
"REHMAN INTERNATIONAL LTD","5","ELLEN STREET"," ","MISSISSAUGA","ON","9058481414","L5M1R8"
"PUNJAB EXCHANGE INCORPORATED","7071","AIRPORT RD","STE","MISSISSAUGA","ON","9054059090","L4T 4J3"
"ÉCHANGE MINCORP INC.","220","YONGE STREET BOX 103"," ","TORONTO","ON","4167091481","M5B 2H1"
"MONEYGRAM PAYMENT SYSTEMS CANADA INC.","5214","CH QUEEN-MARY"," ","MONTREAL","QC","9525913000","H3W1X5"
"MANILA EXPRESS INC.","3185","QUADRA ST."," ","VICTORIA","BC","6047366184","V8X1E9"
"CASHPLAN FINANCIAL","4802","50TH AVE"," ","ST. PAUL","AB","7806455540","T0A 3A0"
" ","914","ISLAND HIGHWAY"," ","CAMPBELL RIVER","BC","2508300560","V9W 2C3"
"PG CASHPLAN","1126","3RD AVENUE"," ","PRINCE GEORGE","BC","2505611657","V2L3E5"
"522916 B. C. LTD.","33052","1ST AVENUE"," ","MISSION","BC","6048201771","V2V1G3"
"604201 SASKATCHEWAN LTD","205B","CENTRE STREET"," ","MEADOW LAKE","SK","3062366522","S9X 1L5"
"FINANCIAL STOP INC.","200-340","MIDPARK WAY"," ","CALGARY","AB","4032548689","T2X 1P1"
"EXPRESS CURRENCY EXCHANGE LIMITED","15223","RUSSELL AVE CANADA"," ","WHITE ROCK","BC","6045424266","V4B 5C3"
"SANGHA CURRENCY EXCHANGE LIMITED","7453","124 STREET"," ","SURREY","BC","6045077777","V3W3X2"
"INDO-CANADIAN MONEY EXCHANGE (2001) INC.","12830","80TH AVENUE","UNIT 110","SURREY","BC","6045969700","V3W3A8"
"AIRWAYS MONEY EXCHANGE 2002 LTD","9380","120TH STREET","UNIT 1","SURREY","BC","6045842500","V3V4B9"
"C M C MUSIC CITY LTD","827","GRANVILLE STREET"," ","VANCOUVER","BC","6046882516","V6Z1K7"
"GESTION FINANCIERE TRINITY INC","437","ST-ZOTIQUE AVE E"," ","MONTRÉAL","QC","5144951616","H2S 1M1"
"INTERNATIONAL REMITTANCE (CANADA) LTD.","8330","MACLEOD TR"," ","CALGARY","AB","6042845141","T2H2V2"
"MONEY FLOW CAPITAL CORPORATION","1075","GRANVILLE STREET"," ","VANCOUVER","BC","6046842226","V6Z1L4"
"PAYLINE FINANCIAL INC","315 877","GOLDSTREAM AVE CANADA"," ","VICTORIA","BC","2504834795","V9B 2X8"
"PAYSTONE (CANADA) CORP","418 650","GEORGIA ST W CANADA"," ","VANCOUVER","BC","6045149614","V6B 4N8"
"C4C CURRENCY EXCHANGE LTD.","104","WATER ST"," ","VANCOUVER","BC","6046472274","V6B 1V2"
"SAVE ON CURRENCY EXCHANGE","2830-4500","KINGSWAY AVE CANADA"," ","BURNABY","BC","6044327557","V5H 2A9"
"2042772 ONTARIO INC.","2A-450","GARRISON RD."," ","FORT ERIE","ON","9058711234","L2A1N2"
"INTL GENERAL EXPRESS INC.","1125","DUNDAS ST. E.","UNIT 228","MISSISSAUGA","ON","4165916363","L4Y2C4"
"STAR REMITTANCE INC","1240","DUNDAS ST WEST CANADA"," ","TORONTO","ON","4165371305","M6J 1X5"
"ADVANTAGE FOREIGN EXCHANGE INC","958","ST. LAURENT UNIT B"," ","OTTAWA","ON","6138425176","K1K3B3"
"PLANINVEST CONSULTING LTD","5075","YONGE STREET","UNIT 401","NORTH YORK","ON","4162508661","M2N 6C6"
"INDIA CURRENCY EXCHANGE INC."," ","1986WESTON ROAD"," ","WESTON","ON","4168946030","M9N1X3"
"1192344 ONTARIO INC.","1269","DANFORTH RD","UNIT","SCARBOROUGH","ON","4162651166","M1J 1E6"
"BHARAT MONEY EXCHANGE LTD","158-8120","128TH ST"," ","SURREY","BC","9999999999","V3W 1R1"
"RM GLOBAL INC","A-125","DUNDAS STREET EAST CANADA"," ","MISSISSAUGA","ON","9059490704","L5A 1W7"
"1671474 ONTARIO LIMITED","7007","ISLINGTON AVE. W. CANADA","UNIT 17","VAUGHAN","ON","9058569771","L4L 4T5"
"DESHI FOREIGN EXCHANGE INC.","2976","DANFORTH AVE CANADA"," ","TORONTO","ON","4166911683","M4C 1M6"
"GLOBLE FOREIGN EXCHANGE INC.","10821","23 AVE CANADA"," ","EDMONTON","AB","8885787267","T6J7B5"
"CASH 4 YOU CORP.","1253","KING STREET EAST","UNIT #5A","KITCHENER","ON","2263180770","N2G2N5"
"CANADIAN CAPITAL COMMODITIES LTD","33","CITY CENTRE DRIVE","SUITE 140","MISSISSAUGA","ON","9055669771","L5B2N5"
"SERVICES MONÉTAIRES ORIENTAL COMMERCIAL INC.","1070","BOULEVARD ST-LAURENT"," ","MONTREAL","QC","5148761070","H2Z 1J5"
"CAN-CHINA FINANCIAL SERVICES LTD.","4500","KINGSWAY"," ","BURNABY","BC","6044387889","V5H2A9"
"AMAL ONTARIO INC.","1772","WESTON ROAD"," ","TORONTO","ON","4166147046","M9N 1V8"
"PLACID NK CORPORATION","400","POST AVE","SUITE# 101","WESTBURY","NY","7183923500","11590"
"FAMILY EXPRESS CANADA LTD.","4721","VAN HORNE","SUITE 9","MONTREAL","QC","6047328777","H3W1H8"
"KAAH EXPRESS (CANADA) INC","1825","WESTON"," ","TORONTO","ON","4162452846","M9N 1V9"
"DEVISES CÔTE VERTU INC","3300","BOUL. CÔTE VERTU","UNIT 110","ST-LAURENT","QC","5143339377","H4R 2B7"
"E-TRANS FINANCE LIMITED","200","GRANVILLE ST","SUITE 60","VANCOUVER","BC","6046858266","V6C1S4"
"THE WINDSOR-DETROIT TUNNEL DUTY FREE SHOP INC","465","GOYEAU STREET"," ","WINDSOR","ON","5192522713","N9A1H1"
"9049-2505 QUEBEC INC","1128","STE-CATHERINE OUEST"," ","MONTRÉAL","QC","5143940804","H3B 1H4"
"RELIABLE PESO REMIT INC","1336","LABRIE AVE"," ","OTTAWA","ON","4166317773","K1B3M1"
"SENVIA MONEY SERVICES INC","1375","KERNS ROAD"," ","BURLINGTON","ON","9053314242","L7R 4X8"
"1573211 ONTARIO INC.","6734","LUNDYS LANE","UNIT 2","NIAGARA FALLS","ON","9053711181","L2G 1V5"
"GLAXY INTERNATIONAL CANADA LTD.","28-1310","MID-WAY BLVD CANADA"," ","MISSISSAUGA","ON","9057951844","L5T2K5"
"OSWALD P. TREUTLER HOLDINGS LTD.","108","BANFF AVE CANADA"," ","BANFF","AB","4037624652","T1L 1A9"
"OMNEX WFG CANADA CORP.","250","KING ST W CANADA"," ","HAMILTON","ON","8666141670","L8P1A9"
"WALL STREET FINANCE (CANADA) LTD.","902-43","THORNCLIFFE PARK DRIVE"," ","TORONTO","ON","4163632300","M4H1J4"
"ALTAIF INC","220","PINEHILL DR"," ","HAMILTON","ON","6132602338","L0R1P0"
"CASH POINT FOREIGN EXCHANGE INC.","3852","FINCH AVE EAST #G03"," ","SCARBOROUGH","ON","4162847000","M1T 3T9"
"TXH THE EXCHANGE HOUSE INC.","3483","STAMFORD GREEN PLAZA","PORTAGD RD","UNIT","NIAGARA FALLS","ON","9059840085","L2J 3K3"
"VINAFAST CORPORATION","888","DUNDAS STREET EAST UNIT D2-B"," ","MISSISSAUGA","ON","9052708898","L4Y4G6"
"GOEL FOREIGN EXCHANGE LTD","900","RAYLAWSON BLVD","UNIT#6","BRAMPTON","ON","9057961238","L6Y 5H7"
"QARAN FINANCIAL SERVICES INC.","2093","WESTON RD."," ","TORONTO","ON","4162452846","M9N1X7"
"MARITIME EXCHANGE INC.","1412","ROUTE 95"," ","BELLEVILLE","NB","5063288888","E7M 4Z8"
"ELITE FOREX INC.","1449","STE CATHERINE STREET WEST CANADA"," ","MONTREAL","QC","5142899003","H3G 1S6"
"6813372 CANADA INC","104","DU BARRY"," ","KIRKLAND","QC","5146939559","H9H 4P8"
"VIETNAM SERVICES INC.","438","SPADINA AVENUE","UNIT # 3","TORONTO","ON","4169729462","M5T 2G8"
"DAOUD CORPORATION","14","OXFORD ST"," ","RICHMOND HILL","ON","4163591690","L4C4L5"
"ABBAS MONEY SMART INC","7163","YONGE ST # 293"," ","THORNHILL","ON","4169212899","L3T0C6"
" ","1286","WILSON AVENUE","UNIT 114","TORONTO","ON","4167325710","M3M3G4"
" ","403","PAPE AVENUE"," ","TORONTO","ON","4164611290","M4K 3P3"
"CONTINENTAL EXCHANGE SOLUTIONS INC.","13825","CERRITOS CORPORATE DRIVE","SUITE C","CERRITOS","CA","5623452119","90703"
"PAYAM EXCHANGE INC","5215","YONGE ST"," ","TORONTO","ON","4162227548","M2N 5P7"
"DOLLAR DIRECT CORP.","947","LANDSDOWN ST W CANADA"," ","PETERBOROUGH","ON","7057452274","K9J 1Z5"
"6149154 CANADA INC","8371","RUE SAINT-LAURENT"," ","MONTRÉAL","QC","5143888989","H2P2M7"
"QUESTRADE, INC.","5650","YONGE ST","STE 1700","TORONTO","ON","8887837866","M2M 4G3"
"PEACE BRIDGE DUTY FREE","1","PEACE BRIDGE PLAZA BOX 339"," ","FORT ERIE","ON","9058715400","L2A 5N1"
"WORLDWIDE PAYMENTS INC","1130","WEST PENDER ST","UNIT 730","VANCOUVER","BC","7787869110","V6E 4A4"
"DOULAT ENTERPRISES INC.","3094","DANFORTH AVENUE"," ","TORONTO","ON","4166902120","M1L 1B1"
"1452062 ONTARIO LIMITED.","2540","FINCH AVE W. UNIT 16"," ","NORTH YORK","ON","4167452405","M9M 2G3"
"9139-0849 QUEBEC INC","4961C","CHEMIN QUEEN-MARY"," ","MONTRÉAL","QC","5148073985","H3W 1X4"
"A & VY MONEY TRANSFER LIMITED","5511","VICTORIA DRIVE"," ","VANCOUVER","BC","6043222838","V5P2W3"
"WEST BULLION INC.","3030","LINCOLN AVENUE","114A","COQUITLAM","BC","6049453166","V3B 6B4"
"REMESAS QUISQUEYANA INC.","1550","NORTH BROWN ROAD","SUITE 145","LAWRENCEVILLE","GA","6784077010","30043"
"U REMIT INTERNATIONAL CORPORATION","102-305","MILNER AVE CANADA"," ","SCARBOROUGH","ON","6478951650","M1B3V4"
" ","2083","LAWRENCE AVE W SUITE 202"," ","TORONTO","ON","4162415446","M9N 1H7"
