"HS6-SH6","DESCRIPTION_ENG","DESCRIPTION_FRA"
"010121","Horses, Pure-Bred Breeding Animals","Chevaux vivants - reproducteurs de race pure"
"010129","Horses, Other","Chevaux, ânes, mulets et bardots vivants - reproducteurs de race pure"
"010130","Horses,  Asses","Chevaux, autres"
"010190","Horses, Asses, Mules And Hinnies, Live - Not Pure-Bred","Chevaux, ânes, mulets et bardots vivants - a/q reproducteurs de race pure"
"010221","Cattle,  Pure-Bred Breeding  Animals","Bovins vivants - reproducteurs de race pure"
"010229","Cattle, Other","Bovins domestiques, autres"
"010231","Buffalo, Pure-Bred Breeding Animals","Buffles, reproducteurs de race pure"
"010290","Bovine, Live - Not Pure-Bred","Bovins vivants - a/q reproducteurs de race pure"
"010310","Swine, Live - Pure-Bred Breeding","Animaux vivants de l'espèce porcine - reproducteurs de race pure"
"010391","Swine, Live - Not Pure-Bred (Weight <50 G)","Animaux vivants de l'espèce porcine - a/q race pure, poids <50kg"
"010392","Swine, Live - Not Pure-Bred (Weight >49G )","Animaux vivants de l'espèce porcine - a/q  race pure, poids >=50kg"
"010410","Sheep, Live","Animaux vivants de l'espèce ovine"
"010420","Goats, Live","Animaux vivants de l'espèce caprine"
"010511","Poultry, Live - Of Gallus Domesticus Species (Weight <186G)","Coqs et poules domestiques, vivants - poids <=185g"
"010512","Turkeys, Live","Dindons et dindes domestiques, vivants - poids <=185g"
"010513","Ducks","Canards"
"010514","Geese","Oies"
"010515","Guinea Fowls","Pintades"
"010594","Fowls Of The Species Gallus Domesticus,  Live Domestic","Coqs et poules, domestiques vivants"
"010599","Poultry, Live - Not Of Gallus Domesticus Species (Weight >185G)","Volailles vivantes, domestiques - a/q coqs et poules domestiques, poids >185g"
"010611","Primates, Live","Primates vivants"
"010612","Whales, Dolphins, Porpoises, Manatees And Dugongs; Seals, Sea Lions And Walruses","Baleines, dauphins, marsouins, lamentins et dugongs vivants"
"010613","Camels And Other Camelids","Chameaux et autres camélidés"
"010614","Rabbits And Hares","Lapins et livères"
"010619","Mammals (Other Than Primates And Sea Mammals), Live","Autres mammifères vivants nda"
"010620","Reptiles, Live","Reptiles vivants"
"010631","Birds Of Prey, Live","Oiseaux de proie vivants"
"010632","Parrots, Parakeets, Macaws, Cockatoos And Similar Birds, Live","Perroquets, perruches et autres oiseaux psittaciformes vivants"
"010639","Other Birds, Live","Autres oiseaux vivants nda"
"010641","Insects: Bees","Insectes: abeilles"
"010649","Insects: Other","Insectes: autres"
"010690","Bees, Fishing Bait And Other Animals Nes","Abeilles, appâts et autres animaux vivants nda"
"020120","Bovine, Cuts With Bone In - Fresh Or Chilled","Morceaux de viande non désossés de l'espèce bovine - fraîches ou réfrigérées"
"020130","Bovine, Cuts Boneless - Fresh Or Chilled","Viandes désossées de l'espèce bovine - fraîches ou réfrigérées"
"020220","Bovine, Cuts With Bone In - Frozen","Morceaux de viande non désossés de l'espèce bovine - congelés"
"020230","Bovine, Cuts Boneless - Frozen","Viandes désossées de l'espèce bovine - congelées"
"020312","Swine, Cuts With Bone In - Fresh Or Chilled","Jambons, épaules et morceaux de l'espèce porcine - non désossés - frais ou réfrigérés"
"020319","Swine, Cuts Boneless - Fresh Or Chilled","Viandes de l'espèce porcine - fraîches ou réfrigérées"
"020321","Swine, Carcasses And Half-Carcasses - Frozen","Carcasses et demi-carcasses de l'espèce porcine - congelées"
"020322","Swine, Cuts With Bone In - Frozen","Jambons, épaules et morceaux de l'espèce porcine - non désossés - congelés"
